Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Description	GO Biological Process	GO Molecular Function	GO Cellular Component	GO Term	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Batch	Control Type	Control Comments	Quality Control	Channels	Comments
P132	4	A4	P132_A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YLR052W	IES3		Subunit of the INO80 chromatin remodeling complex	"chromosome organization, transcription, DNA metabolic process, RNA metabolic process"	molecular_function	"nucleus, chromosome"	"RNA metabolic process, molecular_function, nucleus, organelle organization and biogenesis, transcription"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	5	A5	P132_A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR142C	RPL13B	L13B	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Ap; not essential for viability; has similarity to rat L13 ribosomal protein"	translation	structural molecule activity	"ribosome, cytoplasm"	"cytoplasm, ribosome, structural molecule activity, translation"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	6	A6	P132_A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR158W	MRPS8		Mitochondrial ribosomal protein of the small subunit	"mitochondrion organization, translation"	structural molecule activity	"ribosome, mitochondrion, cytoplasm"	"cytoplasm, mitochondrion, ribosome, structural molecule activity, translation"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	7	A7	P132_A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR171C	EAR1		Specificity factor required for Rsp5p-dependent ubiquitination and sorting of specific cargo proteins at the multivesicular body; mRNA is targeted to the bud via the mRNA transport system involving She2p	"transport, vesicle-mediated transport, cellular protein catabolic process"	molecular_function	cytoplasm	"cytoplasm, molecular_function, protein catabolic process, transport, vesicle-mediated transport"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	8	A8	P132_A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR181C			Protein of unknown function; mRNA transcribed as part of a bicistronic transcript with a predicted transcriptional repressor RGM1/YMR182C; mRNA is destroyed by nonsense-mediated decay (NMD); YMR181C is not an essential gene	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	9	A9	P132_A9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR209C			Putative S-adenosylmethionine-dependent methyltransferase; YMR209C is not an essential gene	biological_process	transferase activity	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	10	A10	P132_A10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR271C	URA10		"Minor orotate phosphoribosyltransferase (OPRTase) isozyme that catalyzes the fifth enzymatic step in the de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; major OPRTase encoded by URA5"	"heterocycle metabolic process, cellular aromatic compound metabolic process"	transferase activity	cytoplasm	"aromatic compound metabolic process, cytoplasm, heterocycle metabolic process, other, transferase activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	11	A11	P132_A11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR279C			"Putative paralog of ATR1, but not required for boron tolerance; identified as a heat-induced gene in a high-throughout screen; YMR279C is not an essential gene"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	12	A12	P132_A12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR306W	FKS3		"Protein involved in spore wall assembly, has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	"sporulation resulting in formation of a cellular spore, cellular component morphogenesis"	transferase activity	"mitochondrion, cytoplasm"	"cell wall organization and biogenesis, mitochondrion, sporulation, transferase activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	13	B1	P132_B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR311C	GLC8		"Regulatory subunit of protein phosphatase 1 (Glc7p), involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2"	"cellular carbohydrate metabolic process, generation of precursor metabolites and energy, chromosome segregation"	enzyme regulator activity	"nucleus, cytoplasm"	"carbohydrate metabolic process, cytoplasm, enzyme regulator activity, generation of precursor metabolites and energy, nucleus, other"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	14	B2	P132_B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR312W	ELP6	KTI4;TOT6;HAP3	"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity"	"transcription, protein modification process, RNA metabolic process"	molecular_function	other	"RNA metabolic process, molecular_function, other, protein modification process, transcription"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	15	B3	P132_B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR313C	TGL3		Bifunctional enzyme with triacylglycerol lipase and lysophosphatidylethanolamine acyltransferase activity; responsible for all the triacylglycerol lipase activity of the lipid particle; required with Tgl4p for timely bud formation	"cell budding, cellular lipid metabolic process"	"transferase activity, hydrolase activity"	cytoplasm	"cytoplasm, hydrolase activity, lipid metabolic process"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	16	B4	P132_B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR315W			Protein with NADP(H) oxidoreductase activity; transcription is regulated by Stb5p in response to NADPH depletion induced by diamide; promoter contains a putative Stb5p binding site	cofactor metabolic process	oxidoreductase activity	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	17	B5	P132_B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR316C-A			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified gene DIA1/YMR316W"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	18	B6	P132_B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR316C-B			"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	19	B7	P132_B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR316W	DIA1		"Protein of unknown function, involved in invasive and pseudohyphal growth; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"	pseudohyphal growth	molecular_function	cytoplasm	"cytoplasm, molecular_function, other, pseudohyphal growth"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	20	B8	P132_B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR317W			Putative protein of unknown function with some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	21	B9	P132_B9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR318C	ADH6	ADHVI	NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance	heterocycle metabolic process	oxidoreductase activity	other	"heterocycle metabolic process, other, oxidoreductase activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	22	B10	P132_B10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR319C	FET4		Low-affinity Fe(II) transporter of the plasma membrane	transport	transporter activity	"membrane, plasma membrane"	"membrane, plasma membrane, transport, transporter activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	23	B11	P132_B11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YMR320W			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	24	B12	P132_B12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YNL250W	RAD50		"Subunit of MRX complex, with Mre11p and Xrs2p, involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining"	"response to stress, meiosis, chromosome organization, cell cycle, DNA metabolic process"	"transferase activity, hydrolase activity, DNA binding, protein binding"	"nucleus, mitochondrion, cytoplasm"	"DNA binding, DNA metabolic process, cell cycle, hydrolase activity, meiosis, mitochondrion, nucleus, organelle organization and biogenesis, other, protein binding, response to stress, transferase activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	25	C1	P132_C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YNL252C	MRPL17	YmL17;YmL30;MRPL30	Mitochondrial ribosomal protein of the large subunit	"mitochondrion organization, translation"	structural molecule activity	"ribosome, mitochondrion, cytoplasm"	"cytoplasm, mitochondrion, ribosome, structural molecule activity, translation"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	26	C2	P132_C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YNL279W	PRM1		Pheromone-regulated multispanning membrane protein involved in membrane fusion during mating; predicted to have 5 transmembrane segments and a coiled coil domain; localizes to the shmoo tip; regulated by Ste12p	"conjugation, response to chemical stimulus, cellular membrane organization"	molecular_function	"membrane, site of polarized growth"	"conjugation, membrane, membrane organization and biogenesis, molecular_function, response to chemical stimulus, site of polarized growth"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	27	C3	P132_C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YNL300W	TOS6		"Glycosylphosphatidylinositol-dependent cell wall protein, expression is periodic and decreases in respone to ergosterol perturbation or upon entry into stationary phase; depletion increases resistance to lactic acid"	biological_process	molecular_function	cell wall	"biological_process, cell wall, molecular_function"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	28	C4	P132_C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YNL316C	PHA2		"Prephenate dehydratase, catalyzes the conversion of prephanate to phenylpyruvate, which is a step in the phenylalanine biosynthesis pathway"	"cellular amino acid and derivative metabolic process, cellular aromatic compound metabolic process"	lyase activity	cytoplasm	"amino acid and derivative metabolic process, aromatic compound metabolic process, cytoplasm, lyase activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P132	29	C5	P132_C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YOL016C	CMK2		"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk1p and mammalian Cam Kinase II"	"signaling process, protein modification process"	"transferase activity, protein kinase activity"	cytoplasm	"cytoplasm, protein kinase activity, protein modification process, signal transduction, transferase activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	30	C6	P132_C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YOR096W	RPS7A	rp30;S7A;RPS30	"Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins"	"translation, ribosome biogenesis"	structural molecule activity	"ribosome, cytoplasm"	"cytoplasm, nucleolus, nucleus, ribosome, structural molecule activity, translation"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	31	C7	P132_C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YOR306C	MCH5		"Plasma membrane riboflavin transporter; facilitates the uptake of vitamin B2; required for FAD-dependent processes; sequence similarity to mammalian monocarboxylate permeases, however mutants are not deficient in monocarboxylate transport"	transport	transporter activity	"membrane, plasma membrane"	"plasma membrane, transport, transporter activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	32	C8	P132_C8																				annotation not available; images not available
P132	33	C9	P132_C9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YOR317W	FAA1		"Long chain fatty acyl-CoA synthetase, activates imported fatty acids with a preference for C12:0-C16:0 chain lengths; functions in long chain fatty acid import; accounts for most acyl-CoA synthetase activity; localized to lipid particles"	"transport, cofactor metabolic process"	ligase activity	"membrane, membrane fraction, mitochondrial envelope, mitochondrion, cytoplasm"	"cytoplasm, ligase activity, lipid metabolic process, membrane, mitochondrial envelope, mitochondrion, protein modification process, transport"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	34	C10	P132_C10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YPL132W	COX11	PSO7;LPI13	Mitochondrial inner membrane protein required for delivery of copper to the Cox1p subunit of cytochrome c oxidase; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Cox1p	"generation of precursor metabolites and energy, protein complex biogenesis, cellular respiration"	other	"ribosome, mitochondrion, membrane, mitochondrial envelope, cytoplasm"	"cellular respiration, cytoplasm, generation of precursor metabolites and energy, membrane, mitochondrial envelope, mitochondrion, other, ribosome"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P132	35	C11	P132_C11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YPL134C	ODC1	2-oxodicarboxylate transporter	"Mitochondrial inner membrane transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation"	transport	transporter activity	"membrane, mitochondrial envelope, mitochondrion, cytoplasm"	"cytoplasm, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, transport, transporter activity"			00_8				DIC:cell structure;YFP:Rad52-YFP protein	
P132	36	C12	P132_C12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML124C	TUB3		"Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; expressed at lower level than Tub1p"	"transport, chromosome segregation, meiosis, conjugation, chromosome organization, cell cycle"	structural molecule activity	"nucleus, cytoskeleton, microtubule organizing center, cytoplasm"	"cell cycle, conjugation, cytoplasm, cytoskeleton, cytoskeleton organization and biogenesis, meiosis, microtubule organizing center, nuclear organization and biogenesis, nucleus, organelle organization and biogenesis, structural molecule activity, transport"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	37	D1	P132_D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML070W	DAK1		"Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation"	"response to stress, cellular carbohydrate metabolic process"	transferase activity	cytoplasm	"cytoplasm, other, response to stress, transferase activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	38	D2	P132_D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML071C	COG8	DOR1	"Component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"	"transport, vesicle-mediated transport"	molecular_function	"cytoplasm, Golgi apparatus"	"Golgi apparatus, cytoplasm, molecular_function, transport, vesicle-mediated transport"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	39	D3	P132_D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML074C	FPR3	NPI46	Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p	"meiosis, signaling process, cell cycle"	isomerase activity	"nucleus, nucleolus"	"cell cycle, isomerase activity, meiosis, nucleolus"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	40	D4	P132_D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML090W			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YML089C; exhibits growth defect on a non-fermentable (respiratory) carbon source"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	41	D5	P132_D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML094W	GIM5	PFD5	Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it	protein complex biogenesis	protein binding	cytoplasm	"cytoplasm, other, protein binding"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	42	D6	P132_D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML095C	RAD10		"Single-stranded DNA endonuclease (with Rad1p), cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human ERCC1 protein"	"response to stress, meiosis, cell cycle, DNA metabolic process"	"DNA binding, hydrolase activity"	nucleus	"DNA binding, DNA metabolic process, cell cycle, hydrolase activity, meiosis, nucleus, response to stress"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	43	D7	P132_D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML096W			Putative protein of unknown function with similarity to asparagine synthetases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YML096W is not an essential gene and partially overlaps the verified gene RAD10	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	44	D8	P132_D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML097C	VPS9	VPT9;VPL31	A guanine nucleotide exchange factor involved in vesicle-mediated vacuolar protein transport; specifically stimulates the intrinsic guanine nucleotide exchange activity of Vps21p/Rab5: similar to mammalian ras inhibitors; binds ubiquitin	"vacuole organization, transport"	"protein binding, enzyme regulator activity"	cytoplasm	"cytoplasm, enzyme regulator activity, transport"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	45	D9	P132_D9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML099C	ARG81	ARGRII;ARGR2	"Zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p"	"transport, vesicle-mediated transport, cellular amino acid and derivative metabolic process"	"transcription regulator activity, protein binding"	nucleus	"amino acid and derivative metabolic process, nucleus, protein binding, transcription regulator activity, transport, vesicle-mediated transport"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	46	D10	P132_D10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML100W	TSL1		"Large subunit of trehalose 6-phosphate synthase (Tps1p)/phosphatase (Tps2p) complex, which converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose, homologous to Tps3p and may share function"	"response to stress, cellular carbohydrate metabolic process"	"transferase activity, hydrolase activity, enzyme regulator activity"	cytoplasm	"carbohydrate metabolic process, cytoplasm, enzyme regulator activity, hydrolase activity, response to stress, transferase activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	47	D11	P132_D11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML099W-A		YML100W-A	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF ARG81/YML099C"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	48	D12	P132_D12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML101C	CUE4		"Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination"	biological_process	molecular_function	"endoplasmic reticulum, cytoplasm"	"biological_process, cytoplasm, endoplasmic reticulum, molecular_function"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	49	E1	P132_E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML101C-A		YML102C-A	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	50	E2	P132_E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML102W	CAC2		"Component of the chromatin assembly complex (with Rlf2p and Msi1p) that assembles newly synthesized histones onto recently replicated DNA, required for building functional kinetochores, conserved from yeast to humans"	"response to stress, chromosome organization, transcription, DNA metabolic process, RNA metabolic process"	transcription regulator activity	"nucleus, chromosome"	"DNA metabolic process, RNA metabolic process, chromosome, nucleus, organelle organization and biogenesis, response to stress, transcription, transcription regulator activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	51	E3	P132_E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML103C	NUP188		"Subunit of the nuclear pore complex (NPC), involved in the structural organization of the complex and of the nuclear envelope, also involved in nuclear envelope permeability, interacts with Pom152p and Nic96p"	"transport, ribosome biogenesis, nucleus organization"	structural molecule activity	"nucleus, membrane, endomembrane system"	"endomembrane system, membrane, nuclear organization and biogenesis, nucleus, organelle organization and biogenesis, structural molecule activity, transport"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	52	E4	P132_E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML104C	MDM1		"Intermediate filament protein, required for nuclear and mitochondrial transmission to daughter buds; contains a Phox homology (PX) domain and specifically binds phosphatidylinositol 3-phosphate (PtdIns-3-P)"	mitochondrion organization	"structural molecule activity, lipid binding"	"cytoskeleton, cytoplasm"	"cytoplasm, cytoskeleton, lipid binding, organelle organization and biogenesis, other, structural molecule activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	53	E5	P132_E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML106W	URA5	PYR5	"Major orotate phosphoribosyltransferase (OPRTase) isozyme that catalyzes the fifth enzymatic step in de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; minor OPRTase encoded by URA10"	"heterocycle metabolic process, cellular aromatic compound metabolic process"	transferase activity	"nucleus, cytoplasm"	"aromatic compound metabolic process, cytoplasm, heterocycle metabolic process, nucleus, other, transferase activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	54	E6	P132_E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML107C	PML39		Protein required for nuclear retention of unspliced pre-mRNAs along with Mlp1p and Pml1p; anchored to nuclear pore complex via Mlp1p and Mlp2p; found with the subset of nuclear pores farthest from the nucleolus; may interact with ribosomes	other	molecular_function	"nucleus, membrane, endomembrane system, ribosome, cytoplasm"	"endomembrane system, membrane, molecular_function, nucleus, ribosome, transport"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	55	E7	P132_E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML108W			Putative protein of unknown function whose structure defines a new subfamily of the split beta-alpha-beta sandwiches; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YML108W is not an essential gene	biological_process	molecular_function	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	56	E8	P132_E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML109W	ZDS2	CES4	"Protein that interacts with silencing proteins at the telomere, involved in transcriptional silencing; implicated in the mitotic exit network through regulation of Cdc14p localization; paralog of Zds1p"	"transcription, RNA metabolic process"	molecular_function	nucleus	"RNA metabolic process, anatomical structure morphogenesis, molecular_function, nucleus, organelle organization and biogenesis, other, transcription"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	57	E9	P132_E9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML110C	COQ5	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase;DBI56"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes"	"cofactor metabolic process, generation of precursor metabolites and energy, cellular respiration"	transferase activity	"mitochondrion, cytoplasm"	"cellular respiration, cofactor metabolic process, cytoplasm, generation of precursor metabolites and energy, mitochondrion, transferase activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P132	58	E10	P132_E10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML111W	BUL2		"Component of the Rsp5p E3-ubiquitin ligase complex, involved in intracellular amino acid permease sorting, functions in heat shock element mediated gene expression, essential for growth in stress conditions, functional homolog of BUL1"	protein modification process	protein binding	cytoplasm	"cytoplasm, other, protein binding, protein modification process"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	59	E11	P132_E11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML112W	CTK3		"Gamma subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and ribosomal protein Rps2p to increase translational fidelity"	"translation, transcription, protein modification process, RNA metabolic process"	"transferase activity, protein kinase activity"	"nucleus, nucleolus"	"RNA metabolic process, nucleus, protein kinase activity, protein modification process, transcription, transferase activity, translation"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	60	E12	P132_E12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML113W	DAT1		DNA binding protein that recognizes oligo(dA).oligo(dT) tracts; Arg side chain in its N-terminal pentad Gly-Arg-Lys-Pro-Gly repeat is required for DNA-binding; not essential for viability	"transcription, RNA metabolic process"	DNA binding	nucleus	"DNA binding, RNA metabolic process, nucleus, transcription"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	61	F1	P132_F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML116W	ATR1	SNQ1	"Multidrug efflux pump of the major facilitator superfamily, required for resistance to aminotriazole and 4-nitroquinoline-N-oxide"	"transport, response to chemical stimulus"	transporter activity	"membrane, vacuole, plasma membrane, cytoplasm"	"plasma membrane, response to chemical stimulus, transport, transporter activity"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
P132	62	F2	P132_F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YML117W	NAB6		Putative RNA-binding protein that associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to some cell wall disrupting agents; expression negatively regulated by cAMP	biological_process	molecular_function	cytoplasm	"RNA metabolic process, cytoplasm, molecular_function"			00_9				DIC:cell structure;YFP:Rad52-YFP protein	
